centro,almacen,material,descripcion,lote,f_prod,stock,un,un_pallet,f_caja,cajas,pallets,camiones,bloqueado,control_calidad
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A08FJNLA,08.01.2025,1658,UN,3900,48,35,0.43,0.02,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A09FJNLA,09.01.2025,1632,UN,3900,48,34,0.42,0.02,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,24B15FJNLA,15.02.2024,1379,UN,3900,48,29,0.35,0.02,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,24F26FJHLA,26.06.2024,1288,UN,3900,48,27,0.33,0.02,0,0.0
P109,I93,920100511,JUREL LOMO NAT RO160,25K14LJNLC,14.11.2025,1222,UN,3900,48,25,0.31,0.02,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,25K08FJHLE,08.11.2025,1111,UN,3900,48,23,0.28,0.01,0,0.0
P109,I93,920100511,JUREL LOMO NAT RO160,25K14LJNLH,14.11.2025,1069,UN,3900,48,22,0.27,0.01,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,25J28FJHLD,28.10.2025,1059,UN,3900,48,22,0.27,0.01,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,25A17FJALB,17.01.2025,1041,UN,3900,48,22,0.27,0.01,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,24F26FJHLC,26.06.2024,1038,UN,3900,48,22,0.27,0.01,0,0.0
P109,I93,920100665,JUR FIL TOMATE PRINCES 125G UK,25F06AJFEA,06.06.2025,1014,UN,4180,10,101,0.24,0.01,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A07FJNLD,07.01.2025,1002,UN,3900,48,21,0.26,0.01,0,0.0
P109,I93,920100665,JUR FIL TOMATE PRINCES 125G UK,25F06AJFEB,06.06.2025,972,UN,4180,10,97,0.23,0.01,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A21FJNLC,21.01.2025,963,UN,3900,48,20,0.25,0.01,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,24F01FJNLB,01.06.2024,960,UN,3900,48,20,0.25,0.01,0,0.0
P109,I93,920100512,JUREL LOMO ACTE RO160,24E03LJALB,03.05.2024,934,UN,3900,48,19,0.24,0.01,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A18FJNLD,18.01.2025,899,UN,3900,48,19,0.23,0.01,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A07FJNLG,07.01.2025,895,UN,3900,48,19,0.23,0.01,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A07FJNLA,07.01.2025,892,UN,3900,48,19,0.23,0.01,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A07FJNLE,07.01.2025,876,UN,3900,48,18,0.22,0.01,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A10FJNLD,10.01.2025,810,UN,3900,48,17,0.21,0.01,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A09FJNLI,09.01.2025,791,UN,3900,48,16,0.2,0.01,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,25A15FJALF,15.01.2025,787,UN,3900,48,16,0.2,0.01,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A20FJNLD,20.01.2025,786,UN,3900,48,16,0.2,0.01,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A10FJNLB,10.01.2025,752,UN,3900,48,16,0.19,0.01,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,24E06FJALB,06.05.2024,712,UN,3900,48,15,0.18,0.01,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,24E23FJHLB,23.05.2024,679,UN,3900,48,14,0.17,0.01,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,24E28FJNLG,28.05.2024,671,UN,3900,48,14,0.17,0.01,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,24F19FJNLC,19.06.2024,592,UN,3900,48,12,0.15,0.01,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A17FJNLE,17.01.2025,554,UN,3900,48,12,0.14,0.01,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,25A15FJALD,15.01.2025,547,UN,3900,48,11,0.14,0.01,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A18FJNLC,18.01.2025,546,UN,3900,48,11,0.14,0.01,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,24E08FJALC,08.05.2024,544,UN,3900,48,11,0.14,0.01,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,24F17FJNLA,17.06.2024,532,UN,3900,48,11,0.14,0.01,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,24C09FJALA,09.03.2024,528,UN,3900,48,11,0.14,0.01,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,24F25FJNLA,25.06.2024,515,UN,3900,48,11,0.13,0.01,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,24E27FJNLC,27.05.2024,506,UN,3900,48,11,0.13,0.01,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A09FJNLF,09.01.2025,500,UN,3900,48,10,0.13,0.01,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A07FJNLF,07.01.2025,496,UN,3900,48,10,0.13,0.01,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,25A14FJALD,14.01.2025,493,UN,3900,48,10,0.13,0.01,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,25J25FJALA,25.10.2025,491,UN,3900,48,10,0.13,0.01,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,25A31FJHLG,31.01.2025,484,UN,3900,48,10,0.12,0.01,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,24E25FJHLC,25.05.2024,483,UN,3900,48,10,0.12,0.01,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,24F18FJNLA,18.06.2024,479,UN,3900,48,10,0.12,0.01,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,24E24FJHLD,24.05.2024,475,UN,3900,48,10,0.12,0.01,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,24E24FJHLE,24.05.2024,470,UN,3900,48,10,0.12,0.01,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,24F19FJNLB,19.06.2024,459,UN,3900,48,10,0.12,0.01,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,24E06FJALD,06.05.2024,448,UN,3900,48,9,0.11,0.01,0,0.0
D109,T93,920100057,JUREL TROZ NAT TALL NECK,21L17TJNTA,17.12.2021,443,UN,2700,24,18,0.16,0.01,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A10FJNLA,10.01.2025,425,UN,3900,48,9,0.11,0.01,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A21FJNLE,21.01.2025,419,UN,3900,48,9,0.11,0.01,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A18FJNLA,18.01.2025,417,UN,3900,48,9,0.11,0.01,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,24E22FJHLA,22.05.2024,417,UN,3900,48,9,0.11,0.01,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,24E09FJALB,09.05.2024,412,UN,3900,48,9,0.11,0.01,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,24E09FJALA,09.05.2024,411,UN,3900,48,9,0.11,0.01,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,24E06FJALC,06.05.2024,410,UN,3900,48,9,0.11,0.01,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,25B03FJHLB,03.02.2025,402,UN,3900,48,8,0.1,0.0,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,24E25FJHLD,25.05.2024,396,UN,3900,48,8,0.1,0.0,0,0.0
P109,I93,920100512,JUREL LOMO ACTE RO160,24B06LJALB,06.02.2024,391,UN,3900,48,8,0.1,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A08FJNLD,08.01.2025,390,UN,3900,48,8,0.1,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A10FJNLC,10.01.2025,384,UN,3900,48,8,0.1,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A13FJNLD,13.01.2025,374,UN,3900,48,8,0.1,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,24F25FJNLG,25.06.2024,365,UN,3900,48,8,0.09,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A11FJNLA,11.01.2025,365,UN,3900,48,8,0.09,0.0,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,24E08FJALF,08.05.2024,348,UN,3900,48,7,0.09,0.0,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,24E08FJALA,08.05.2024,337,UN,3900,48,7,0.09,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,24F18FJNLB,18.06.2024,328,UN,3900,48,7,0.08,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,24F25FJNLH,25.06.2024,326,UN,3900,48,7,0.08,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A13FJNLC,13.01.2025,325,UN,3900,48,7,0.08,0.0,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,25B03FJHLC,03.02.2025,325,UN,3900,48,7,0.08,0.0,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,25A31FJHLD,31.01.2025,322,UN,3900,48,7,0.08,0.0,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,25A30FJHLA,30.01.2025,316,UN,3900,48,7,0.08,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,24G12FJNLB,12.07.2024,312,UN,3900,48,6,0.08,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A09FJNLG,09.01.2025,305,UN,3900,48,6,0.08,0.0,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,24E09FJALC,09.05.2024,305,UN,3900,48,6,0.08,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A20FJNLB,20.01.2025,293,UN,3900,48,6,0.08,0.0,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,24E24FJHLF,24.05.2024,293,UN,3900,48,6,0.08,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,24F25FJNLF,25.06.2024,287,UN,3900,48,6,0.07,0.0,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,24E10FJALA,10.05.2024,281,UN,3900,48,6,0.07,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,24E28FJNLB,28.05.2024,280,UN,3900,48,6,0.07,0.0,0,0.0
P109,I93,930101927,JUREL LOMO ACTE MAR SAN JOSE LITO 48X160,24E10FJALE,10.05.2024,280,UN,3900,48,6,0.07,0.0,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,24E24FJHLB,24.05.2024,276,UN,3900,48,6,0.07,0.0,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,25A31FJHLF,31.01.2025,274,UN,3900,48,6,0.07,0.0,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,24C14FJHLH,14.03.2024,272,UN,3900,48,6,0.07,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,25A20FJNLE,20.01.2025,271,UN,3900,48,6,0.07,0.0,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,24E25FJHLF,25.05.2024,261,UN,3900,48,5,0.07,0.0,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,24E14FJHLF,14.05.2024,260,UN,3900,48,5,0.07,0.0,0,0.0
P109,I93,930101928,JUREL LOMO AHUM SAN JOSE LITO 48X160,24E13FJHLC,13.05.2024,259,UN,3900,48,5,0.07,0.0,0,0.0
P109,I93,930101926,JUREL LOMO NAT SAN JOSE LITO 48X160,24E28FJNLE,28.05.2024,257,UN,3900,48,5,0.07,0.0,0,0.0
